System_Name,Entitlement_Code,Account_ID,CCM Access,Staff Access
S4423552,52C,IE01,P,P
S4423552,54C,IE01,P,P
S4423552,/AE,IM10,E, 
S4423552,/BM,IM10,E, 
S4423552,/CM,IM10,E, 
S4423552,/LS,IM10,E, 
S4423552,/MC,IM10,E, 
S4423552,/ND,IM10,E, 
S4423552,AAE,IM10,E, 
S4423552,AB,IM10,E, 
S4423552,ABE,IM10,E, 
S4423552,AE,IM10,E, 
S4423552,AHE,IM10,E, 
S4423552,AHR,IM10,E, 
S4423552,AIE,IM10,E, 
S4423552,AS,IM10,E, 
S4423552,ASE,IM10,E, 
S4423552,ATL,IM10,E, 
S4423552,BAL,IM10,E, 
S4423552,BFR,IM10,E, 
S4423552,BL,IM10,E, 
S4423552,BLR,IM10,E, 
S4423552,BNK,IM10,E, 
S4423552,C,IM10,E, 
S4423552,CB,IM10,E, 
S4423552,CBE,IM10,E, 
S4423552,CDE,IM10,E, 
S4423552,CFE,IM10,E, 
S4423552,CGR,IM10,E, 
S4423552,CIE,IM10,E, 
S4423552,CLC,IM10,E, 
S4423552,CLG,IM10,E, 
S4423552,CLI,IM10,E, 
S4423552,CLR,IM10,E, 
S4423552,CNU,IM10,E, 
S4423552,COE,IM10,E, 
S4423552,CPE,IM10,E, 
S4423552,CSI,IM10,E, 
S4423552,CSR,IM10,E, 
S4423552,CUN,IM10,E, 
S4423552,CUX,IM10,E, 
S4423552,CYL,IM10,E, 
S4423552,C10,IM10,E, 
S4423552,C11,IM10,E, 
S4423552,C12,IM10,E, 
S4423552,C13,IM10,E, 
S4423552,C14,IM10,E, 
S4423552,C15,IM10,E, 
S4423552,C16,IM10,E, 
S4423552,C18,IM10,E, 
S4423552,C20,IM10,E, 
S4423552,C21,IM10,E, 
S4423552,C22,IM10,E, 
S4423552,C23,IM10,E, 
S4423552,C24,IM10,E, 
S4423552,C25,IM10,E, 
S4423552,C26,IM10,E, 
S4423552,C27,IM10,E, 
S4423552,C28,IM10,E, 
S4423552,C29,IM10,E, 
S4423552,C30,IM10,E, 
S4423552,C31,IM10,E, 
S4423552,C32,IM10,E, 
S4423552,C33,IM10,E, 
S4423552,C34,IM10,E, 
S4423552,C35,IM10,E, 
S4423552,C50,IM10,E, 
S4423552,DE,IM10,E, 
S4423552,DEA,IM10,E, 
S4423552,DEE,IM10,E, 
S4423552,DIE,IM10,E, 
S4423552,DII,IM10,E, 
S4423552,DNP,IM10,E, 
S4423552,DTP,IM10,E, 
S4423552,EAH,IM10,E, 
S4423552,ENQ,IM10,E, 
S4423552,EQU,IM10,E, 
S4423552,FSR,IM10,E, 
S4423552,GCL,IM10,E, 
S4423552,HCR,IM10,E, 
S4423552,KAR,IM10,E, 
S4423552,MCL,IM10,E, 
S4423552,MGP,IM10,E, 
S4423552,MMR,IM10,E, 
S4423552,MSI,IM10,E, 
S4423552,MSP,IM10,E, 
S4423552,MTE,IM10,E, 
S4423552,NLE,IM10,E, 
S4423552,NOP,IM10,E, 
S4423552,NPE,IM10,E, 
